comment_id,text
UgxwzJU3teuWkSsEbv94AaABAg,anyone in 2025
Ugw2iEy8RY79oo5VzOd4AaABAg,anyone from 2025 ???
UgxrO15HELLXrlWoYAt4AaABAg,2025 with same vibe yes or no ? like karon agar mei sahi hui toh
Ugxl-zlYp5I78wIaupt4AaABAg,op bhai
UgylU8uURbszs_muP1F4AaABAg,2025
UgzrN4O16nQUdWBmVXd4AaABAg,anyone in 2025
UgyGbMuEa2mVGSdShul4AaABAg,anyone from 2025?
UgyhIO8Sv3cxhAXbDTZ4AaABAg,2025
UgyN8p029oRxgWk44nt4AaABAg,aaaj samaj me ayi puri kahani broh ye giraftaar or gian saale dalle hain chor like honey paji
UgwxybWLx0MUQP4Dyjp4AaABAg,kuchh bhi ho lekin bhai ki awaaz badi khatarnaak he
Ugx8nAsCSb2bqdG_FpB4AaABAg,2025 ?
Ugw_gju_qONqCsTiNJp4AaABAg,2025 anyone?
UgwwCGbccUU3CdftyjB4AaABAg,anyone from 2025?
UgxGSfwpTSuui0cBZm94AaABAg,anyone from 2025?
UgzQy4bNgae5j8le2rp4AaABAg,koun koun 2025 me sunne aaye hai
UgwYkYkkbup6xTObC2B4AaABAg,anyone from 2025 ?
UgwYkYkkbup6xTObC2B4AaABAg.ACv5xpNqjSHAD9HyIrmRFH,from 2060
UgxCZuUse2vdR-Jug6h4AaABAg,we want yo yo honey singh and emiway bantai collab
UgyAvRkR5zPw0xmHaLB4AaABAg,sorry raftar we were immature in 2019
UgwU34zpyy2n-CXn1_Z4AaABAg,
UgyGronEKG5ZSN-OuG94AaABAg,2025 still fresh
Ugyw6eR7mwCLjzkuvmV4AaABAg,anyone from 2025?
UgwBeF_TscvTodrA6OZ4AaABAg,2025
Ugzao-4J5g2pb7d2oIN4AaABAg,anyone in 2025
UgzaXsRAH9Ag6fbt07Z4AaABAg,yep still watching this og in2025
UgwUg7OhmMNkoBhLR6B4AaABAg,2025
UgxP8l6UWm8bqHWeO8J4AaABAg,2025 anyone?
UgxiNz6JpOMPJb9j4el4AaABAg,2025??????
UgxbHwHQLJlOMsbfOlV4AaABAg,anyone 2025 like karo
UgzO8L9taHSdptaPgct4AaABAg,miss you legend sidhu moose wala
UgwB8f1NLLVFZP0aUFd4AaABAg,
UgxWmhUrfOR_bgSvd654AaABAg,ab samaj mein aaya ki bhai tab thoda yeda tha
UgwZWpQF72I820hDeL14AaABAg,2025
UgypnrdGd1DNKzpsSQB4AaABAg,2025
UgwjiPqJIegnPIv11yB4AaABAg,"udjw,,m,,"
UgzxCJt7wrTOBdRO2D54AaABAg,"quot;anyone, from 2025.,!?"
Ugwsc7yZ1rH7ATQALaB4AaABAg,anyone 2025 ?
Ugzw5Wzd6BOajoiHTcl4AaABAg,anyone from 2025
UgwbvJoU4ZTJdCb0qPN4AaABAg,anyone from 2025?
UgzEH0mJ0xharh5JhCZ4AaABAg,anyone 2081
UgzulS3QB4lZCw05dXN4AaABAg,raftaar never beat emiway
UgyhR7x_7geB-ZJmQml4AaABAg,watching in 2025
Ugyz-aPEy49aMM7Pp6Z4AaABAg,bro i just realised how unlucky i am that i found this gem after 1 year of discovering dhh
UgzzsrfLrBTb9cdfyuV4AaABAg,jan 2025??
UgwhdxNBl3TfiTKyUFp4AaABAg,wishyudh mai chua jarur mar jayega
UgyzLMLWk5QcASPinEN4AaABAg,2025
Ugxe5IAHrJ-A9sJVbl94AaABAg,kon kon 2025 sun rha hai
UgyDYZQyUq92WmC_n6l4AaABAg,dono hi khatarnaak ho bhaibrbut raftaar ka shaikh chilli helicopter ne wajan bada diya
UgxQxi-BAEQMt2mKndB4AaABAg,2025 me kon hai
Ugwc3qJW4dm_J7Ec_C14AaABAg,chalo bol diya ki sacha musalman ni hai. islam mazhab ka dhong krne wle
UgwqrJb2D_l2Z0cyN7Z4AaABAg,2025
Ugw4Q3PKJKM4ipmsf5Z4AaABAg,anyone from 2025?
UgzjsZFgdnZFFDXi1Hh4AaABAg,anyone from 2026 ?
Ugx1nsqCY00R2UTICQx4AaABAg,anyone from 2025?
UgxHjx4SEWOoWb3S5ll4AaABAg,kon 2025 me sun raha hai
Ugy6npBvQZcISTjFkNl4AaABAg,any one in 2025??
UgzXSieqs84xG-MzoVh4AaABAg,2025 kon sunra goosebumps
UgyOnKPWBuxZ8zMLEUF4AaABAg,anyone from 2025?????
UgxXC1H-ss0sItBq5054AaABAg,anyone 2025
UgxBD4SLqR0iV-g2uAF4AaABAg,2025 walo attendance
Ugzcm9QpXJAG6dbvf_J4AaABAg,anyone in 2025
UgxFTp1yFI7vY2fGBQd4AaABAg,2025 1st song
UgyG5IHrIZF0n-3j1FN4AaABAg,anyone 2025
UgwvLnqdvpGfdn20ZRl4AaABAg,anyone from 2025?
Ugyz3keFu12cy27zC354AaABAg,2025 anyone.?
Ugxn_RzfDQHjzWSgYGl4AaABAg,good
UgzUrOCjtWJ0apNUTDt4AaABAg,anyone 2025?
UgxZX0-DcXL0L4SahB14AaABAg,i am from 2025
Ugy_to2CPZqWvyeIJ7d4AaABAg,2025 side
Ugy9wxRq0-5zETwVGNx4AaABAg,anyone from 2025
Ugy-mU9NhsZA7Q_CW6h4AaABAg,happy new year 2025
UgwmXZkyRmlid-HGMVJ4AaABAg,2025
UgwIjNu0aAr3jSpfqOl4AaABAg,bantai flops hai
UgwCcCX4Rt-X_ZfceRF4AaABAg,bhai me dam hai i like bhanti bro
UgysYgVZqF70cuu40cl4AaABAg,anyone 31st december 2024 brbrlast day of 2024
UgzdMmlAhyDv4XynOuV4AaABAg,who is on 1st january 2025
Ugwb-LysKNccc0kTn4d4AaABAg,2025
UgwIFvDTn6OAr66vOx54AaABAg,31122024
UgyLslbZxJ4cmn8oX6Z4AaABAg,any one2025
UgygmtJOWSa712gSA2V4AaABAg,watching it again in
UgwddC1FPRJutNlxH_R4AaABAg,
UgwfcxoQO_8gUNm7fL94AaABAg,anyone in 2025 .?
UgymIyLC3mZgOiobXgV4AaABAg,hard hy bhai bht hard h
UgwKBCwR7qDNwlAFE3p4AaABAg,2026?
UgzESO9v2fOmqi4UHeR4AaABAg,mashallah subhanallah ky soag h bhei
UgwbRLdcEIisXeYB35d4AaABAg,anyone 2025
UgwFRXbP4z6akGeEAuJ4AaABAg,ek number rapper
UgwQ4nSx39-rmXoS8Q94AaABAg,anyone from 2025?
Ugw-kY4EEHtB-yXs1ph4AaABAg,december me kon sun rahe hai 2024
Ugyc4wbr8xJC_ug3yvh4AaABAg,
Ugyd7cvAVpQCOK0xw4F4AaABAg,emiway you wina
Ugzv7fzQqyhNUP8qy1J4AaABAg,everyone watching in 2024
UgyJyKSKaL6u6KJ-4Cl4AaABAg,
UgxqdHdBbkkqbn15y114AaABAg,raftar mardwa ka managa
Ugy8HP5wz41FciYD10h4AaABAg,2026 vale
Ugx6Hcp9M1K9kvvQDQd4AaABAg,
Ugzds6GVhD9co_up-tZ4AaABAg,raftaar to kulfaaa krva diya bhai
Ugw9DEj5KqocEEIkq9F4AaABAg,anyone in 2025?
Ugw9DEj5KqocEEIkq9F4AaABAg.ACTHHOgVt3dAD-6NTTgxm_,"yes bro, i am"
Ugw9DEj5KqocEEIkq9F4AaABAg.ACTHHOgVt3dAD4nSgNGl_8,yes bro
UgwDb5zD4CBZ5kr3-Gt4AaABAg,if a hindu supports a muslim in something then think that the guy is doing really great job
Ugx0eX5x1SmlLXH8IJl4AaABAg,2025????????????
UgwKKXSqPAwGdeif3mV4AaABAg,anyone from dwapara yuga ??
UgxYs4OZcvwqGS3MkCt4AaABAg,mja agya sun ke
Ugz3xQb5qtzQlAKgSVt4AaABAg,kon kon sun raha hai 2025 me
UgzRZqhxkm88iKamzqF4AaABAg,pagal bantai
UgxMecQFAN8zoUnVcC94AaABAg,chilane se nahi bante gaane
UgyHwfWn5IZWKHr_Pgd4AaABAg,2025 me kon dekh rha hai
UgyrToZfkTiCS9PjOEt4AaABAg,bro its 2025 but same goosebumps
Ugy0ZLEFsxv5mLTwSq14AaABAg,listening before exam brenergy braaj yhi chapega
UgyJIIh-1TMP_ZEN1E14AaABAg,130.m
UgygKD1IXNv6tDzb0v14AaABAg,iski takkar ka koi nahi hain
UgwsH_kBV6m-qcfuV194AaABAg,raftaar to raftaar ha bahii
UgxpvcyzIAYPFn3RKXB4AaABAg,2025
UgwhYeWjGHhhfeZsOYl4AaABAg,anyone from 2025
Ugx1BXsuOYAQvkU2_754AaABAg,organic hain bhai
Ugw8GrCV9dxijQzGaeV4AaABAg,emiway
UgxHsan6kKH_ChPqWgZ4AaABAg,"goopwii2m,9,"
UgxcmVnXUHnQ-BoYE-Z4AaABAg,6 year passed but still fire
UgzGhvuVPoMG2bH1R_p4AaABAg,kon kon 2024 ma sun raha hai to like
Ugwvo0qqap3XNqdAGnp4AaABAg,beef rapper legend
UgwTuI2c7MoZdDLH_mF4AaABAg,his pronounce hipophip hop
UgwN5q5JPtSWv3AOcx14AaABAg,2025 attendance
Ugyz0KSZhf-V-2svw594AaABAg,anyone from 2025?
Ugx7DdJX-JAlVtPeXSl4AaABAg,anyone from 2025?
Ugw6W_w3QzXbEFnwq1h4AaABAg,2024..
UgyDLhNs-yQPEE_QBiZ4AaABAg,legendary beef
UgyJ7YU2c1qjyn1mxT54AaABAg,below the ballet diss
UgwuyQ415obzHdQNndd4AaABAg,divine muje kyu beka me le rahe hoo
UgyYqzdcq64GV5RCBo94AaABAg,
UgykZEpLtCVtp-vHTux4AaABAg,g.o.a.t.
UgzNIiZ5U2PwBXQbW894AaABAg,any one feom 2025
UgzNIiZ5U2PwBXQbW894AaABAg.AC5dpjktI0LAC5zgEvjcNP,tu kab pohoch gaya 2025 mey
UgzbqAKKkStPNESjG5B4AaABAg,kya dholai hai bantai bai
Ugwr5yEIwe0C0ODo3At4AaABAg,saccha amp; muslaman is a oxymoron
UgynevGcZVgpjrAQK6d4AaABAg,bhai ka poora scene change kar diya raftar paaji ne
UgyySwWwIPh4kiOOUYp4AaABAg,yaa tera kam nahi haiii ....... paisa too kheagga kaaa
UgyqAyyi9sMDNIcZOFp4AaABAg,raftar crying in corner
Ugzgj0SN31TOMnP-s-V4AaABAg,love you broo
UgxBt5TZw6HLi21pvpt4AaABAg,"islam mein insaniyat nhi hai brquran 95 but when the sacred months expire slay those who associate others with allah in his divinity wherever you find them; seize them, and besiege them, and lie in wait for them. but if they repent and establish the prayer and pay zakah, leave them alone. surely allah is allforgiving, evermerciful.brbrquran 928 believers, those who associate others with allah in his divinity are unclean. so, after the expiry of this year, let them not even go near the sacred mosque. and should you fear poverty, allah will enrich you out of his bounty, if he wills. surely allah is allknowing, allwise.brbrquran 936 surely the reckoning of months, in the sight of allah, is twelve months, laid down in allah39;s decree on the day when he created the heavens and the earth; and out of these months four are sacred. that is the true ordainment. do not, therefore, wrong yourselves, with respect to these months.brbrsurah at tawbah 980brit does not matter whether you o prophet pray for them to be forgiven or not. even if you pray for their forgiveness seventy times, allah will never forgive them. that is because they have lost faith in allah and his messenger. and allah does not guide the rebellious people.brbrsurah albaqarag 2193brfight against them if they persecute you until there is no more persecution, and your devotion will be to allah alone. if they stop persecuting you, let there be no hostility except against the aggressors.brbral nisa 4137brindeed, those who believed then disbelieved, then believed and again disbelievedonly increasing in disbeliefallah will neither forgive them nor guide them to the right way.brbrsurah annisa 498,99brexcept helpless men, women, and children who cannot afford a way out. brit is right to hope that allah will pardon them. for allah is everpardoning, allforgiving.brbralbaqarah 2256brlet there be no compulsion in religion, for the truth stands out clearly from falsehood. so whoever renounces false gods and believes in allah has certainly grasped the firmest, unfailing handhold. and allah is allhearing, allknowing.brbralimran 385brwhoever seeks a way other than islam, it will never be accepted from them, and in the hereafter they will be among the losers.brbrqur39;an 2191brkill them wherever you come upon them1 and drive them out of the places from which they have driven you out. for persecution2 is far worse than killing. and do not fight them at the sacred mosque unless they attack you there. if they do so, then fight themthat is the reward of the disbelievers.brbrqur39;an 2193brfight against them if they persecute you until there is no more persecution, and your devotion will be to allah alone. if they stop persecuting you, let there be no hostility except against the aggressors.brbrqur39;an al baqrah a href"" allah does not forgive associating others with him in worship, but forgives anything else of whoever he wills. and whoever associates others with allah has indeed committed a grave sin.brbralmaidah 572brthose who say, allah is the messiah, son of mary, have certainly fallen into disbelief. the messiah himself said, o children of israel! worship allahmy lord and your lord. whoever associates others with allah in worship will surely be forbidden paradise by allah. their home will be the fire. and the wrongdoers will have no helpers.brbrsurah albaqarah, 2216brfighting has been made obligatory upon you believers, though you dislike it. perhaps you dislike something which is good for you and like something which is bad for you. allah knows and you do not know.brbrsurah almujadilah a href"" believers! when you are told to make room in gatherings, then do so. allah will make room for you in his grace. and if you are told to rise, then do so. allah will elevate those of you who are faithful, and raise those gifted with knowledge in rank. and allah is allaware of what you do.brbrsurah alhajj a href"" to fight back is hereby granted to those being fought, for they have been wronged. and allah is truly most capable of helping them prevail.brbrsurah alhajj a href"" are those who have been expelled from their homes for no reason other than proclaiming our lord is allah. had allah not repelled the aggression of some people by means of others, destruction would have surely claimed monasteries, churches, synagogues, and mosques in which allahs name is often mentioned. allah will certainly help those who stand up for him. allah is truly allpowerful, almighty.brbrquran surah altawbah, ayat 9111brsurely allah has purchased of the believers their lives and their belongings and in return has promised that they shall have paradise. they fight in the way of allah, and slay and are slain. such is the promise he has made incumbent upon himself in the torah, and the gospel, and the qur39;an. who is more faithful to his promise than allah? rejoice, then, in the bargain you have made with him. that indeed is the mighty triumph."
UgxWu2l2AESoXCfsqs14AaABAg,miss old emiway like this track
UgzRkPy8wl7kMwoir3J4AaABAg,raftar ki aukat nahi hai
Ugw04wcUJpwam2W8OGR4AaABAg,anyone from still 2025?
UgzEcJsp5bGndnnBceh4AaABAg,ye to gayab ho gaya bahut jaldi raftaar aaj bhi viral hai
UgzEcJsp5bGndnnBceh4AaABAg.ABxUY0mRqs3ABxmIoqlTjD,ghanta.. 4 billion views raftaar 4 janam mein cross karega
UgzEcJsp5bGndnnBceh4AaABAg.ABxUY0mRqs3ABzEhmV-A6q,kis song me 4b h bhai
UgzEcJsp5bGndnnBceh4AaABAg.ABxUY0mRqs3ABzFhaAqsAC,"only youtube views is 4 billion .. spotify, amazon prime and itunes ke additional.."
UgzEcJsp5bGndnnBceh4AaABAg.ABxUY0mRqs3ABzGB8REE0S,accha overall bol rha h ... raftaar ke interview se pehle toh koe janta nhi tha isko
UgzEcJsp5bGndnnBceh4AaABAg.ABxUY0mRqs3ABzGxm46Ggc,jaise raftaar ko honey singh beef ke pehele koi nai janta tha.. kush reh
UgzEcJsp5bGndnnBceh4AaABAg.ABxUY0mRqs3ABzHNt7dRhQ,ha bhai oyo wali baby tera emigay sb dogley h ... aaj bunty ke views dekh ...oyo ne jaise raftaar badshah ikka ko use kiya tere bunty ko b waise use kiya ...brhaal filal ye h ki. ..bunty ke views aur subs joke h...brbraur tere bunty 285 video dalke 4b views aur raftaar 118 video pe itne overall views hbrbrtu bhi khush reh
UgzEcJsp5bGndnnBceh4AaABAg.ABxUY0mRqs3ABzIEf3Zekn,l viral hai mera
UgzEcJsp5bGndnnBceh4AaABAg.ABxUY0mRqs3ABzIGlfEfsb,raftar ke 118 videos 1 billion bhi cross nai kiya
UgzEcJsp5bGndnnBceh4AaABAg.ABxUY0mRqs3ABzI_zFNos9,bunty ka konsa billion cross kiya
UgzEcJsp5bGndnnBceh4AaABAg.ABxUY0mRqs3ABzIujfyV0W,ek saal k andar jitne bunty ke songs aaye uske views dekh 50lakh bhi paar nhi h
UgzEcJsp5bGndnnBceh4AaABAg.ABxUY0mRqs3AC-bH1Yy9VR,lol.. emiway ke top 2 songs ke views hi raftaar ke lifetime views se jyada hain ..
UgzEcJsp5bGndnnBceh4AaABAg.ABxUY0mRqs3AC0IDqPfl2T,ha ab bs lol gol krega ....brek saal se views nhi aarhe h bunty ke koe sunta hu nhi
UgzEcJsp5bGndnnBceh4AaABAg.ABxUY0mRqs3AC0UMOM7oDT,"chal woh bhi dekh le.. emiway ki last album kal hi, release hui hai.. uske views bhi raftaar ki 3 months pehele wali album se jyada hain brbechara re.. tujhpe to abb daya aa rahi hai"
UgzEcJsp5bGndnnBceh4AaABAg.ABxUY0mRqs3AC0V8dpI8Ai,jhutt bolega bhai .... sastey nashe mt krr ....konsa album raftaar ka 3mahine pehle aaya ....brbrharddrive abhi 3weeks pehle aaya h ...usme bhi uske 3 gaane ek hafta trending me they ....brbrtere bunty ka ek gaana bhi trending me nhi aaya ...brbrbaaki toh aatma janta h bhai bunty ki aukkat ...brbrbolta h independent h fir bigboss me jake gaan marata h .... brbrraftaar jo bhi h khuley aam h tere bunty ki tarah fraud nhi h
UgzEcJsp5bGndnnBceh4AaABAg.ABxUY0mRqs3AC0VElTFBhr,yha bunty ki public oyo wali ko views likes deti h ...aur udhr oyo wali baby ki public bunty ko dekhti bhi nhi h
UgzEcJsp5bGndnnBceh4AaABAg.ABxUY0mRqs3AC0VXmYPBhZ,bhai nashe me h ki gwaar ... 3months pehle konsi album aayi ...brbrabhi hdv2 aayi wo bhi trending me thi ek haftey .... tere bunty ka toh trending me nhi aaya ....brab tk
UgzEcJsp5bGndnnBceh4AaABAg.ABxUY0mRqs3AC0W3lXCQCY,konse nashe me h bhai ...konsi album 3months pehle aayi ... public ko bewkoof mt bna...brbr3week pehle hdv2 aayi wo bhi 3 songs trending me they ...brbrtere bunty ka ek song bhi abtk nhi aaya trending me
UgzEcJsp5bGndnnBceh4AaABAg.ABxUY0mRqs3AC0WtV39vuJ,"abbe raftar ka channel dekh le. 4 weeks pehele 9 tracks release huye hain.. uske views emiway ne apni, new album se 2 din mein cross kar diye"
UgzEcJsp5bGndnnBceh4AaABAg.ABxUY0mRqs3AC0YTf9GMBJ,cross kr liya ... views likes kidr h bhai ...itne subs h fir bhi ye haal h...brabhi toh tu 3months bol rha tha ab 4weeks pe aagya ... gwaar brbrraftaar ke 9 tracks me 3 track trending me they ...tere bunty ka kya haal h
UgzEcJsp5bGndnnBceh4AaABAg.ABxUY0mRqs3AC0YtESkqzH,abhi toh tu 3months bol rha tha bruss 9 tracks me 3 trending me they ...jis din release huye uske 3 ghantey baad ..brbrtera bunty ka toh abhi tk koe track trending me dikh bhi nhi rha
UgzEcJsp5bGndnnBceh4AaABAg.ABxUY0mRqs3AC0ZEiNLsuq,abb tu sirf apna mazzak udwa raha hai bacche ..aur kuch nahi..raftaar ke 4 weeks ke views se jyada emiway ke 2 din mein ..
UgzEcJsp5bGndnnBceh4AaABAg.ABxUY0mRqs3AC0ZTE79YJz,kya joke maara h...baaki bye khush reh
UgzEcJsp5bGndnnBceh4AaABAg.ABxUY0mRqs3AC0a-0lCZ54,bechaara re.. har ek point pe tu laafe khaya..itni beizzati hui teri.. moo to dhak le
UgzEcJsp5bGndnnBceh4AaABAg.ABxUY0mRqs3AC3alN3gdT1,tere profile name pe abhi dhyan gaya.. abb tere actually daya aari hai lmao
UgzEcJsp5bGndnnBceh4AaABAg.ABxUY0mRqs3ACRYZWI0KjU,honey ka aulaad raftaar
UgzEcJsp5bGndnnBceh4AaABAg.ABxUY0mRqs3ACjaVVuI3aX,ko kab use kiya honey ne?? ikka ne toh kabhi nhi bola ulta 6 sal phle wale live m raftar ko expose kardiya tha brbrhate karo lekin thoda limit m
Ugynvt3O3QXyR3SbTyV4AaABAg,bus in dono ki yeh hi ukat hai yo yo paji ke name ki dono bhikari bhikh kha rhe hai
Ugynvt3O3QXyR3SbTyV4AaABAg.ABxLpYSCJvOABxmSqFyBHG,bantai raftaar ko kha gaya and you yo khud emiway ka fan hai
UgxqZ7tc7I11d5mQDwx4AaABAg,jab tak emiway bantai or yo yo honey singh jinda tab tak koi bhii indian hip hop ka king nahii bn sakta h ye dono own krtee h indian rap hiphop scene ko or ha ek baat bolunga haters ko tumhaari baato se ghanta farak nahii padhta baap to emiway or honey singh he h
UgwaswP-qKIyaE5Xo0p4AaABAg,official two fathers of raftaar 1yo yo honey singh br2 emiway bantai
UgzwQRyULwM7BGCfysF4AaABAg,ye raftaar k fans bohot udte h na aak kl raftaar ko hip hop ka king bata te h usk naam k aage raftaar ye emojis lagaate h to betaa sunlo uska baap emiway h raftaar ne aakr live maafi maangi thii emiway se bhai bhai bolkr ghanta kuch nahii hua us chodu se dr gaya vo emiway se emiway official father of raftaar
UgxFDCoE12NyfK-OtIJ4AaABAg,2025 still legendary
Ugwo0M10j5zj1yAhQoJ4AaABAg,anyone from 2025?
UgxCqct_907I0X16I-F4AaABAg,the diss which changed the whole scene of ihh
UgyYj0K9zjdXTs8U6Dd4AaABAg,kutte kitna bhokta hai
UgwcfFAi2anubnWcqHF4AaABAg,good
